"FIPS","PopMean_2010","UrbanRuralStatus_2013","Hispanic_Race_2014","White_Race_2014","Black_Race_2014","Native_Race_2014","Asian_Race_2014","Islander_Race_2014","Others_Race_2014","More_Race_2014","Male_Sex_Sub125","Female_Sex_Sub125","Sub18_Age_Sub125","From18To64_Age_Sub125","Over65and65_Age_Sub125","LessThanHighSchool_Edu_Sub125","HighSchoolGraduate_Edu_Sub125","CollegeDegree_Edu_Sub125","BachelorOrHigher_Edu_Sub125","Yes_Disability_Sub125","No_Disability_Sub125","Fulltime_Work_Sub125","Parttime_Work_Sub125","No_Work_Sub125"
1059,31716.5,6,2205.308,6346.872,720.288,206,0,0,566.544,72.912,3829.371,5701.508,3632.832,4902.04,1007.171,2186.422,1811.142,924.534,122.589,1996.71,7548.255,888.576,854.258,3391.269
1061,26802.5,2,492.44,5684.97,1513.919,16.994,0,NA,249.146,219.945,3522.458,4475.187,2495.72,4433.31,1057.689,1688.422,1789.25,1061.481,211.191,2241.408,5740.28,633.528,1498.5,2559.876
1063,9016,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,15734,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,17304.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,101717.5,2,1420.32,10964.884,12115.008,116.012,90.201,4,378.324,732.645,10935.904,14399.314,9012.688,13578.438,2721.312,4386.816,5271.45,3131.235,782.936,5918.814,19408.62,2303.369,4669.043,7428.752
1071,53177.5,5,914.544,11864.916,679.798,115.906,88.914,0,425.04,541.731,6716.129,7448.467,4379.724,7717.138,2077.383,3490.598,3209.342,1853.552,277.994,3302.42,10894.875,1355.01,2177.088,4775.736
1073,658510.5,1,11853.6,41550.264,97942.739,284.208,1315.575,11.009,6149.88,1698.3,67805.603,86472.522,51778.8,88522.824,14012.796,22495.155,27264.372,24640.252,8172.414,31697.232,122581.985,11924.608,31157.34,50042.05
1075,14536,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,92694,2,922.866,15633.992,3684.186,148,112.144,9,131.924,616.83,9208.92,11915.394,6129.45,12819.74,2173.5,3633.664,3484.622,2782.197,1082.718,4482.91,16626.642,1677.632,5430.719,6405.2
1079,34340.5,2,273.969,5172.936,1000.374,455.715,0,NA,0,376.74,2964.598,4265.443,1889.277,4393.83,939.872,1903.096,1608.112,971.28,76.299,2300.096,4943.508,616.488,1270.311,2744.912
1081,140513.5,2,2426.886,24655.272,12793.732,112.896,1006.913,0,1156.194,710.535,19104.687,22299.633,9460.355,29798.75,2086.894,4787.42,4405.116,4137.976,2414.51,5584.41,35733.509,2981.421,14955.6,12738.825
1083,82987.5,2,2595.274,9884.7,2190.931,61.074,238.491,15.015,1011.914,445.312,6524.874,8893.872,4884,8635.069,1888.388,3410.232,3251.93,1619.8,581.575,3355.119,11992.604,1515.83,2874.678,4608.054
1085,11279,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,21496,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,335399.5,2,5059.846,26036.595,25087.04,657.416,1404.897,62.916,1133.968,2789.865,27722.75,33066.816,19576.75,36133.552,5009.228,8463.07,9251.648,10264.014,4070.218,10746.368,50058.711,6630.154,15314.956,15814.11
1091,21001,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,30773,11,105.818,7443.9,358.974,0,0,NA,19.005,68.16,3685.451,4273.064,2144.682,4755.124,1075.008,1856.019,1562.4,1209.794,183.491,2557.984,5402.892,641.092,1488.516,2824.227
1095,93127,5,6493.023,17536.885,546.46,292.2,174.915,7,1951.023,500.516,11732.992,13637.043,9615.55,13320.665,2427.608,5654.044,4601.068,2653.8,483.936,5478.609,19869.962,2379.126,4356.964,7290.816
1097,413134.5,2,3523.296,40548.033,56152,1224.782,1758.132,9.984,1300.72,2145.12,44530.776,60520.89,36405.824,58972.236,9815.181,16433.946,20467.56,14786.28,3475.02,19840.674,85100.979,8910.525,19437.16,34047.624
1099,23031,11,86.112,2899.078,4835.501,32.929,2.052,NA,0,59.985,3507.96,4348.816,2721.57,4191.979,939.335,1336.335,2067.072,990,136.656,1302.64,6553.884,516.288,545.688,3495.954
1101,229603.5,2,3660.3,9578.004,46068.198,151.088,534.467,9,1301.656,791.136,26937.78,33639.84,21593.778,34896.96,4084.983,9935.6,9714.9,7237.23,2883.069,12395.754,48124.96,4854.22,13246,19019.04
1103,119558,2,4252.176,13951.305,5475.492,62.22,190.23,0,585.296,1014.86,10458.542,14457.84,8546.1,13750.128,2604.901,5184.756,4281.312,3573.423,839.384,5433.552,19466.524,2446.164,5341.887,6753.375
1105,10573.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,19725.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,32928,5,123.176,4278.764,5494.565,135.966,284.254,NA,0,215.18,4701.573,5778.592,2537.59,6977.201,967.95,1604.8,1591.128,914.13,371.425,1960.612,8514.603,941.118,2981.213,3391.605
1111,22914.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,53067.5,2,407.956,6670.776,8531.874,63.048,219.061,0,200.166,303.654,7071.48,9099.406,5309.496,9106.958,1744.182,3029.319,3269.916,2118.868,505.56,3857.625,12302.874,1355.403,2671.246,5641.36
1115,83677,1,778.162,14412.42,2008.808,98,133.287,4,131.15,181.374,8090.082,9546.692,5574.885,10139.472,1924.704,3866.686,3689.866,2468.672,287.104,4357.892,13291.717,1423.785,3345.648,5758.92
1117,195456.5,1,5510.75,13370.16,4381.871,83.78,539.581,0,3315.2,450.296,11201.772,13117.365,7947.36,14520.532,1731.896,3624.411,4023.294,3544.247,2059.562,4571.866,19653.984,2678.468,6280.07,6460.986
1119,13753.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,82200.5,3,791.479,11222.601,10420.386,105.924,22.881,NA,266.149,658.23,9930.312,13092.627,7628.688,12965.253,2439.705,4293.712,4913.184,3141.096,488.622,5437.11,17606.4,1739.348,4535.796,7538.745
1123,41566,6,778.602,5227.175,4865.558,65.964,0,NA,327.848,146.076,4546.504,6512.484,4010.944,5936.744,1121.328,2063.232,2402.716,1265.868,283.976,2217.888,8857.625,1159.488,1361.904,3796.111
1125,194846,2,2274.064,19793.07,22741.731,50.05,796.911,0,444.106,414.284,20274.045,25740,13315.344,29735.205,3002.122,6587.96,7529.918,5013.5,2110.144,6409.832,39658.226,3873.87,11211.786,15732.77
1127,66985,1,687.644,15777.926,1455.631,123.046,119.9,NA,74.88,680.13,8323.95,10370.43,5656.206,11203.121,1812.2,4010.16,3912.405,2793.78,274.904,6044.256,12637.646,1311.18,3519.296,6891.489
1129,17589,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,11642.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,24439.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,3148,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5559.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,292526.5,2,3667.048,11775.918,3575.168,5007.102,5213.728,1628.095,822.325,5116.797,15263.04,19192.831,12514.656,20085.832,1969.128,3652.538,6479.712,4983.012,1786.922,6353.775,28027.17,2572.608,8428.839,10481.418
2050,17051.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
