Leisure-time Physical Inactivity Prevalence,,,2010,
State,FIPS Codes,County,number,percent
Arkansas,05017,Chicot County,3078,35
Arkansas,05019,Clark County,5358,31.8
Arkansas,05021,Clay County,4398,36.5
Arkansas,05023,Cleburne County,6228,30.8
Arkansas,05025,Cleveland County,1821,28.7
Arkansas,05027,Columbia County,5418,30.4
Arkansas,05029,Conway County,4590,29.4
Arkansas,05031,Craighead County,23466,34.1
Arkansas,05033,Crawford County,14454,32.8
Arkansas,05035,Crittenden County,11319,32.6
Arkansas,05037,Cross County,4482,34.7
Arkansas,05039,Dallas County,2163,36
Arkansas,05041,Desha County,3145,33.9
Arkansas,05043,Drew County,4399,32.9
Arkansas,05045,Faulkner County,23913,29.2
Arkansas,05047,Franklin County,4242,32.2
Arkansas,05049,Fulton County,3430,36.5
Arkansas,05051,Garland County,19349,26.2
Arkansas,05053,Grant County,4142,31.5
Arkansas,05055,Greene County,10327,33.9
Arkansas,05057,Hempstead County,5222,32.4
Arkansas,05059,Hot Spring County,8302,34
Arkansas,05061,Howard County,3255,33.1
Arkansas,05063,Independence County,9615,35.7
Arkansas,05065,Izard County,3753,34.9
Arkansas,05067,Jackson County,5324,38.5
Arkansas,05069,Jefferson County,20498,36.4
Arkansas,05071,Johnson County,6332,34.4
Arkansas,05073,Lafayette County,1838,32.6
Arkansas,05075,Lawrence County,4225,32.8
Arkansas,05077,Lee County,2760,34.6
Arkansas,05079,Lincoln County,3382,30.7
Arkansas,05081,Little River County,3099,31.9
Arkansas,05083,Logan County,5843,35.9
Arkansas,05085,Lonoke County,13981,29
Arkansas,05087,Madison County,3597,31.2
Arkansas,05089,Marion County,3877,29.1
Arkansas,05091,Miller County,10359,32.5
Arkansas,05093,Mississippi County,13168,41.1
Arkansas,05095,Monroe County,2132,35.2
Arkansas,05097,Montgomery County,2053,28.2
Arkansas,05099,Nevada County,2286,34.5
Arkansas,05101,Newton County,2379,37.1
Arkansas,05103,Ouachita County,7183,37.1
Arkansas,05105,Perry County,2408,30.9
Arkansas,05107,Phillips County,5577,37.4
Arkansas,05109,Pike County,2298,27.9
Arkansas,05111,Poinsett County,6608,36.9
Arkansas,05113,Polk County,5010,32.8
Arkansas,05115,Pope County,12063,27
Arkansas,05117,Prairie County,2276,34.3
Arkansas,05119,Pulaski County,83210,29.5
Arkansas,05121,Randolph County,4373,32.8
Arkansas,05123,St. Francis County,7476,35.9
Arkansas,05125,Saline County,22768,28.8
Arkansas,05127,Scott County,2846,35.2
Arkansas,05129,Searcy County,2058,32.4
Arkansas,05131,Sebastian County,28456,31.5
Arkansas,05133,Sevier County,3656,31.6
Arkansas,05135,Sharp County,4081,31
Arkansas,05137,Stone County,3178,33
Arkansas,05139,Union County,9655,31.6
Arkansas,05141,Van Buren County,3928,29.3
Arkansas,05143,Washington County,36352,25.3
Arkansas,05145,White County,15484,27.7
Arkansas,05147,Woodruff County,1681,30.9
Arkansas,05149,Yell County,4536,28.7
California,06001,Alameda County,181280,16
California,06003,Alpine County,160,18
California,06005,Amador County,5292,17.2
California,06007,Butte County,27662,16.8
California,06009,Calaveras County,6306,17.7
California,06011,Colusa County,2278,15.8
California,06013,Contra Costa County,125635,16.4
California,06015,Del Norte County,3931,18
California,06017,El Dorado County,20567,15.2
California,06019,Fresno County,124570,20
California,06021,Glenn County,3642,18.7
California,06023,Humboldt County,17756,17.2
California,06025,Imperial County,27315,23.1
California,06027,Inyo County,2270,15.9
California,06029,Kern County,123586,22.1
California,06031,Kings County,20786,19.6
California,06033,Lake County,9972,20.1
California,06035,Lassen County,4602,16.6
California,06037,Los Angeles County,1287470,18.1
California,06039,Madera County,19255,18.6
California,06041,Marin County,21185,10.8
California,06043,Mariposa County,3011,20.5
California,06045,Mendocino County,12458,18.8
California,06047,Merced County,30984,18.7
California,06049,Modoc County,1504,20.4
California,06051,Mono County,1371,12.6
California,06053,Monterey County,44795,15.4
California,06055,Napa County,14392,14.2
California,06057,Nevada County,10381,13.4
California,06059,Orange County,349993,16
California,06061,Placer County,37108,14.5
California,06063,Plumas County,2804,17.7
California,06065,Riverside County,305594,20.3
California,06067,Sacramento County,186935,18.4
California,06069,San Benito County,5697,15.1
California,06071,San Bernardino County,280500,20.4
California,06073,San Diego County,367419,16.1
California,06075,San Francisco County,108329,15.9
California,06077,San Joaquin County,98917,21.3
California,06079,San Luis Obispo County,30322,14.6
California,06081,San Mateo County,83779,15.4
California,06083,Santa Barbara County,45959,15
California,06085,Santa Clara County,211947,16.2
California,06087,Santa Cruz County,21449,11
California,06089,Shasta County,26452,19.9
California,06091,Sierra County,505,19.3
California,06093,Siskiyou County,6845,19.8
California,06095,Solano County,62031,20.6
California,06097,Sonoma County,49908,13.7
California,06099,Stanislaus County,71970,20.5
California,06101,Sutter County,13731,20.8
California,06103,Tehama County,7742,16.9
California,06105,Trinity County,2303,21
California,06107,Tulare County,61539,21.6
California,06109,Tuolumne County,8546,19.3
California,06111,Ventura County,99908,17
California,06113,Yolo County,21660,15
California,06115,Yuba County,11027,22.4
Colorado,08001,Adams County,62483,20.4
Colorado,08003,Alamosa County,2270,20.7
Colorado,08005,Arapahoe County,68138,16.5
Colorado,08007,Archuleta County,1618,17.1
Colorado,08009,Baca County,680,23.4
Colorado,08011,Bent County,1191,22.5
Colorado,08013,Boulder County,23765,10.8
Colorado,08014,Broomfield County,6143,15.3
Colorado,08015,Chaffee County,2269,15.6
Colorado,08017,Cheyenne County,309,22.9
Colorado,08019,Clear Creek County,1241,16.8
Colorado,08021,Conejos County,1131,19.8
Colorado,08023,Costilla County,584,21.5
Colorado,08025,Crowley County,1152,23.3
Colorado,08027,Custer County,742,21.2
Colorado,08029,Delta County,4870,20.8
Colorado,08031,Denver County,65704,14.3
Colorado,08033,Dolores County,329,20.9
Colorado,08035,Douglas County,21381,11
Colorado,08037,Eagle County,3981,10.4
Colorado,08039,Elbert County,3280,19.6
Colorado,08041,El Paso County,76319,17.2
Colorado,08043,Fremont County,7210,19.1
Colorado,08045,Garfield County,5465,13.8
Colorado,08047,Gilpin County,827,18.6
Colorado,08049,Grand County,1787,15.5
Colorado,08051,Gunnison County,1619,13.6
Colorado,08053,Hinsdale County,124,18.5
Colorado,08055,Huerfano County,1377,25.8
Colorado,08057,Jackson County,212,19.2
Colorado,08059,Jefferson County,57843,14.3
Colorado,08061,Kiowa County,213,20
Colorado,08063,Kit Carson County,1691,27.1
Colorado,08065,Lake County,931,17.6
Colorado,08067,La Plata County,6010,15.4
Colorado,08069,Larimer County,28501,12.7
Colorado,08071,Las Animas County,2541,21.6
Colorado,08073,Lincoln County,980,23
Colorado,08075,Logan County,3774,21.8
Colorado,08077,Mesa County,18549,17.2
Colorado,08079,Mineral County,108,18.2
Colorado,08081,Moffat County,2520,25.8
Colorado,08083,Montezuma County,4336,22.8
Colorado,08085,Montrose County,5041,16.7
Colorado,08087,Morgan County,4200,21.6
Colorado,08089,Otero County,2876,21.1
Colorado,08091,Ouray County,529,14.8
Colorado,08093,Park County,2415,18.8
Colorado,08095,Phillips County,686,21.1
Colorado,08097,Pitkin County,1631,11.7
Colorado,08099,Prowers County,2183,25
Colorado,08101,Pueblo County,21185,18.3
Colorado,08103,Rio Blanco County,846,17.6
Colorado,08105,Rio Grande County,1934,22.2
Colorado,08107,Routt County,1886,10.4
Colorado,08109,Saguache County,900,19.8
Colorado,08111,San Juan County,107,18.5
Colorado,08113,San Miguel County,818,14
Colorado,08115,Sedgwick County,421,22.6
Colorado,08117,Summit County,2642,11.6
Colorado,08119,Teller County,3375,18.6
Colorado,08121,Washington County,872,24.2
Colorado,08123,Weld County,30098,17.2
Colorado,08125,Yuma County,1587,22.2
Connecticut,09001,Fairfield County,134390,20.1
Connecticut,09003,Hartford County,155330,23.3
Connecticut,09005,Litchfield County,29049,20
Connecticut,09007,Middlesex County,27092,21.4
Connecticut,09009,New Haven County,163822,25.4
Connecticut,09011,New London County,48483,23.4
Connecticut,09013,Tolland County,21904,19.2
Connecticut,09015,Windham County,21850,24.9
Delaware,10001,Kent County,32285,27.6
Delaware,10003,New Castle County,90038,22.7
Delaware,10005,Sussex County,40152,26.2
District of Columbia,11001,District of Columbia,90035,18.7
Florida,12001,Alachua County,40176,21.4
Florida,12003,Baker County,6216,32.1
Florida,12005,Bay County,31438,24.6
Florida,12007,Bradford County,6896,31.1
Florida,12009,Brevard County,106251,25.1
Florida,12011,Broward County,311884,23.6
Florida,12013,Calhoun County,3574,32
Florida,12015,Charlotte County,30717,22.8
Florida,12017,Citrus County,30601,26.3
Florida,12019,Clay County,33673,24.8
Florida,12021,Collier County,44268,17.5
Florida,12023,Columbia County,15364,30.4
Florida,12027,DeSoto County,8103,31.1
Florida,12029,Dixie County,4320,33.4
Florida,12031,Duval County,163238,25.6
Florida,12033,Escambia County,57072,25.7
Florida,12035,Flagler County,18642,24.9
Florida,12037,Franklin County,2709,28.8
Florida,12039,Gadsden County,11039,32.5
Florida,12041,Gilchrist County,3620,28.6
Florida,12043,Glades County,3424,33.8
Florida,12045,Gulf County,3590,27.6
Florida,12047,Hamilton County,3781,33.1
Florida,12049,Hardee County,5932,30.9
Florida,12051,Hendry County,8494,31.4
Florida,12053,Hernando County,35517,26.2
Florida,12055,Highlands County,22065,28
Florida,12057,Hillsborough County,209386,23.2
Florida,12059,Holmes County,4975,32.9
Florida,12061,Indian River County,26057,23.8
Florida,12063,Jackson County,12268,31.9
Florida,12065,Jefferson County,3337,28.5
Florida,12067,Lafayette County,2002,29.2
Florida,12069,Lake County,53844,23.4
Florida,12071,Lee County,118365,24.4
Florida,12073,Leon County,41581,20.4
Florida,12075,Levy County,10421,33.4
Florida,12077,Liberty County,2104,32.9
Florida,12079,Madison County,4379,30.2
Florida,12081,Manatee County,61780,24.7
Florida,12083,Marion County,71202,27.4
Florida,12085,Martin County,24020,20.4
Florida,12086,Miami-Dade County,447830,23.7
Florida,12087,Monroe County,11111,18.2
Florida,12089,Nassau County,13270,23.8
Florida,12091,Okaloosa County,31735,23.4
Florida,12093,Okeechobee County,9043,30.8
Florida,12095,Orange County,197598,23.6
Florida,12097,Osceola County,51347,26.9
Florida,12099,Palm Beach County,230749,22.6
Florida,12101,Pasco County,104888,29.4
Florida,12103,Pinellas County,146238,19.9
Florida,12105,Polk County,114272,25.7
Florida,12107,Putnam County,18754,33.7
Florida,12109,St. Johns County,25602,18
Florida,12111,St. Lucie County,54696,26.1
Florida,12113,Santa Rosa County,27655,24.7
Florida,12115,Sarasota County,60275,19.2
Florida,12117,Seminole County,65548,20.8
Florida,12119,Sumter County,18298,21.6
Florida,12121,Suwannee County,9330,30
Florida,12123,Taylor County,5548,31.4
Florida,12125,Union County,3791,31.1
Florida,12127,Volusia County,99646,25.7
Florida,12129,Wakulla County,6452,27.7
Florida,12131,Walton County,11453,26.8
Florida,12133,Washington County,6026,31.7
Georgia,13001,Appling County,4268,32.4
Georgia,13003,Atkinson County,1710,30.1
Georgia,13005,Bacon County,2673,33.4
Georgia,13007,Baker County,737,29.4
Georgia,13009,Baldwin County,9662,29.2
Georgia,13011,Banks County,3586,27.1
Georgia,13013,Barrow County,14828,30.7
Georgia,13015,Bartow County,19016,26.9
Georgia,13017,Ben Hill County,4082,32.6
Georgia,13019,Berrien County,4284,30.9
Georgia,13021,Bibb County,29780,26.9
Georgia,13023,Bleckley County,2617,28.7
Georgia,13025,Brantley County,3461,26.5
Georgia,13027,Brooks County,3737,31.3
Georgia,13029,Bryan County,4786,23.1
Georgia,13031,Bulloch County,12115,24.2
Georgia,13033,Burke County,5064,31.4
Georgia,13035,Butts County,4773,26.9
Georgia,13037,Calhoun County,1535,29.4
Georgia,13039,Camden County,8348,23.6
Georgia,13043,Candler County,2198,27.8
Georgia,13045,Carroll County,21690,27.8
Georgia,13047,Catoosa County,15226,32.8
Georgia,13049,Charlton County,2974,30.2
Georgia,13051,Chatham County,47331,24.1
Georgia,13053,Chattahoochee County,1914,25.9
Georgia,13055,Chattooga County,5496,28.1
Georgia,13057,Cherokee County,34342,22.7
Georgia,13059,Clarke County,20498,23.5
Georgia,13061,Clay County,741,31.2
Georgia,13063,Clayton County,49061,27.7
Georgia,13065,Clinch County,1491,31.1
Georgia,13067,Cobb County,99494,20.1
Georgia,13069,Coffee County,9270,30.7
Georgia,13071,Colquitt County,9230,29.2
Georgia,13073,Columbia County,20370,23.3
Georgia,13075,Cook County,3611,29.8
Georgia,13077,Coweta County,23314,25.9
Georgia,13079,Crawford County,2694,28.6
Georgia,13081,Crisp County,6035,36.2
Georgia,13083,Dade County,3332,27.1
Georgia,13085,Dawson County,3909,23.2
Georgia,13087,Decatur County,6033,30.3
Georgia,13089,DeKalb County,106986,21
Georgia,13091,Dodge County,5051,31.6
Georgia,13093,Dooly County,3269,28.8
Georgia,13095,Dougherty County,18322,27.5
Georgia,13097,Douglas County,24558,26.8
Georgia,13099,Early County,2326,29.9
