"FIPS","pop_mean_2010"
17193,14645.5
17195,58473
17197,678128.5
17199,66363
17201,295196.5
17203,38661.5
18001,34391.5
18003,355592.5
18005,76824.5
18007,8871
18009,12756.5
18011,56765.5
18013,15230
18015,20158.5
18017,38965.5
18019,110421
18021,26883
18023,33229
18025,10719.5
18027,31682
18029,50073.5
18031,25756
18033,42254
18035,117670
18037,41882
18039,197602.5
18041,24279.5
18043,74628.5
18045,17244.5
18047,23067
18049,20840
18051,33520
18053,70018
18055,33185
18057,275479.5
18059,70126
18061,39379
18063,145657.5
18065,49469
18067,82761
18069,37116.5
18071,42481.5
18073,33503.5
18075,21224.5
18077,32411
18079,28512.5
18081,139831.5
18083,38422.5
18085,77363
18087,37131
18089,495993
18091,111466
18093,46129
18095,131639
18097,904135.5
18099,47035.5
18101,10336
18103,36851.5
18105,138198
18107,38110
18109,68977.5
18111,14243.5
18113,47538.5
18115,6123.5
18117,19820
18119,21573.5
18121,17335.5
18123,19332.5
18125,12838
18127,164467.5
18129,25906.5
18131,13376.5
18133,37934.5
18135,26152
18137,28816
18139,17375
18141,266946
18143,24177.5
18145,44413.5
18147,20930
18149,23367.5
18151,34175
18153,21472
18155,10614
18157,172871.5
18159,15915.5
18161,7518
18163,179768
18165,16180
18167,107903
18169,32857
18171,8504.5
18173,59762
18175,28276
18177,68885
18179,27639
18181,24639
18183,33313.5
19001,7678.5
19003,4024
19005,14342.5
19007,12882
19009,6113
19011,26074.5
19013,131155.5
19015,26293.5
19017,24282.5
19019,20947
19021,20296
19023,14889
19025,9666
19027,20827
19029,13954
19031,18500
19033,44127.5
19035,12083.5
19037,12427.5
19039,9293
19041,16658.5
19043,18108
19045,49104.5
19047,17114
19049,66375.5
19051,8759
19053,8445
19055,17757.5
19057,40321.5
19059,16667
19061,93766.5
19063,10291
19065,20859.5
19067,16306.5
19069,10681.5
19071,7436.5
19073,9335.5
19075,12450
19077,10955
19079,15654.5
19081,11331
19083,17526.5
19085,14925
19087,20132
19089,9562.5
19091,9805.5
19093,7083.5
19095,16338
19097,19846.5
19099,36828.5
19101,16835
19103,131053.5
19105,20643.5
19107,10504.5
19109,15521.5
19111,35859.5
19113,211363.5
19115,11381
19117,8891.5
19119,11579.5
19121,15705.5
19123,22378.5
19125,33271.5
19127,40697
19129,15060
19131,10778.5
19133,9237
19135,7972
19137,10729
19139,42741.5
19141,14386
19143,6450.5
19145,15927
19147,9402
19149,24990.5
19151,7294
19153,431450
19155,93258.5
19157,18899.5
19159,5130
19161,10348
19163,165532.5
19165,12163.5
19167,33704.5
19169,89558.5
19171,17748.5
19173,6310
19175,12531
19177,7559
19179,35646
19181,46266.5
19183,21698.5
19185,6402.5
19187,37964
19189,10853.5
19191,21057.5
19193,102289.5
19195,7596
19197,13215.5
20001,13362.5
20003,8099.5
20005,16909
20007,4852.5
20009,27689.5
20011,15172.5
20013,9986
20015,65901.5
20017,2792
20019,3664.5
20021,21586
20023,2723
20025,2208
20027,8544
20029,9525.5
20031,8605.5
20033,1893
20035,36298
20037,39159.5
20039,2956.5
20041,19746.5
20043,7947.5
20045,110978
20047,3043
20049,2877
20051,28459.5
20053,6504
20055,36894.5
20057,33971
20059,26013.5
20061,34787
20063,2693
20065,2596
20067,7840.5
20069,6021.5
20071,1253
20073,6683
20075,2692
20077,6031
20079,34705
20081,4265
20083,1914
20085,13477
20087,19129
20089,3076
20091,545027.5
20093,3987.5
20095,7849
20097,2561.5
20099,21581
20101,1745
20103,76365.5
20105,3238
20107,9648
20109,2757
20111,33672
20113,29165.5
20115,12651
20117,10117
20119,4585.5
20121,32823.5
20123,6363.5
20125,35430.5
20127,5918
20129,3230.5
20131,10175.5
20133,16496
20135,3105.5
20137,5672.5
20139,16293
20141,3848
20143,6084
20145,6967.5
20147,5640
20149,21652.5
20151,9648.5
20153,2511.5
20155,64554
20157,4966
20159,10086
20161,71298
20163,5177.5
20165,3314.5
20167,6980
20169,55669.5
20171,4951.5
20173,498879
20175,22994
20177,178117.5
20179,2550.5
20181,6008
20183,3852
20185,4438.5
20187,2244
20189,5739.5
20191,24118
20193,7919
20195,3002
20197,7048
20199,1487.5
20201,5799
20203,2235.5
20205,9396
20207,3306
20209,157675
21001,18635
21003,19968
21005,21443
21007,8256
21009,42168.5
21011,11599
21013,28698.5
21015,119050.5
21017,19974.5
21019,49561
21021,28464.5
21023,8493.5
21025,13876.5
21027,20059.5
21029,74396
21031,12702
21033,12981
21035,37236
21037,90434
21039,5103
21041,10802.5
21043,27697.5
21045,15963.5
21047,74067
21049,35623.5
21051,21714
21053,10267
21055,9314
21057,6853
21059,96709
21061,12166
21063,7873.5
21065,14675
21067,296284
21069,14364.5
21071,39448.5
21073,49286.5
21075,6817
21077,8593
21079,16916
21081,24666.5
21083,37163
21085,25765.5
21087,11242
21089,36897.5
21091,8567.5
21093,106238
21095,29255
21097,18837
21099,18202.5
21101,46276
21103,15402.5
21105,4893.5
21107,46909.5
21109,13498.5
21111,741634
21113,48651
21115,23385.5
21117,159798
21119,16322
21121,31888
21123,14189
21125,58896.5
21127,15864
21129,7880.5
21131,11304.5
21133,24535
21135,13859.5
21137,24741.5
21139,9526.5
21141,26835
21143,8309
21145,65552
21147,18310
21149,9525
21151,83036.5
21153,13330
21155,19825.5
21157,31450
21159,12911.5
21161,17493.5
21163,28633
21165,6306.5
21167,21347
21169,10104
21171,10970.5
21173,26507.5
21175,13925.5
21177,31496
21179,43523
21181,7133
21183,23830
21185,60383
21187,10837
21189,4759.5
21191,14893.5
21193,28718.5
21195,64988
21197,12619
21199,63099
21201,2280.5
21203,17044
21205,23325.5
21207,17550
21209,47308
21211,42164.5
21213,17342
21215,17084.5
21217,24536.5
21219,12453.5
21221,14345
21223,8803.5
21225,15006
21227,113982
21229,11743.5
21231,20814.5
21233,13611
21235,35611.5
21237,7352
21239,24982
22001,61808.5
22003,25748
22005,107553
22007,23397.5
22009,42088
22011,35742.5
22013,14341.5
22015,117250.5
22017,255256
22019,192999
22021,10125.5
22023,6819
22025,10394
22027,17168
22029,20814
22031,26695
22033,440540
22035,7745
22037,20228.5
22039,33987
22041,20770
22043,22325
22045,73238
22047,33375.5
22049,16285.5
22051,432500.5
22053,31599.5
22055,221814.5
22057,96323
22059,14909
22061,46768
22063,128287.5
22065,12097.5
22067,27952
22069,39585.5
22071,345843.5
22073,153815
22075,23074
22077,22786.5
22079,131696
22081,9085
22083,20730.5
22085,24231
22087,36329.5
22089,52775.5
22091,11204
22093,22064
22095,45868.5
22097,83419
22099,52187
22101,54614.5
22103,234154
22105,121261
22107,5241.5
22109,111860.5
22111,22737.5
22113,58034.5
22115,52551.5
22117,47130.5
22119,41211
22121,23852.5
22123,11593
22125,15617.5
22127,15300
23001,107662.5
23003,71795
23005,281565.5
23007,30750
23009,54391
23011,122147
23013,39715
23015,34428
23017,57792.5
23019,153886
23021,17542
23023,35259.5
23025,52229.5
23027,38793.5
23029,32833.5
23031,197173.5
24001,75054
24003,538427
24005,805369
24009,88836.5
24011,33079.5
24013,167187.5
24015,101153.5
24017,146818.5
24019,32634
24021,233753.5
24023,30080
24025,245001.5
24027,287730.5
24029,20209.5
24031,973990
24033,864345.5
24035,47848.5
24037,105468.5
24039,26475.5
24041,37808
24043,147494
24045,98788
24047,51442.5
24510,620772
25001,215912.5
25003,131181.5
25005,548448.5
25007,16558
25009,743901.5
25011,71370.5
25013,463584
25015,158087
25017,NA
25019,10163.5
25021,671613
25023,495349.5
25025,722673
25027,799052.5
26001,10913
26003,9588
26005,111455.5
26007,29563.5
26009,23542.5
26011,15883
26013,8852
26015,59108.5
26017,107737
26019,17510.5
26021,156809
26023,45192.5
26025,136109
26027,52244.5
26029,25925
26031,26117.5
26033,38561
26035,30926.5
26037,75404
26039,14055.5
26041,37067
26043,26139.5
26045,107798.5
26047,32692.5
26049,425358
26051,25683.5
26053,16413.5
26055,87014.5
26057,42468.5
26059,46665.5
26061,36657
26063,33078.5
26065,280853.5
26067,63894.5
26069,25832
26071,11815
26073,70322.5
26075,160224.5
26077,250534.5
26079,17135
26081,602920.5
26083,2162.5
26085,11521.5
26087,88264.5
26089,21706.5
26091,99827.5
26093,180969.5
26095,6617.5
26097,11095
26099,841052
26101,24715.5
26103,67104
26105,28713
26107,42814.5
26109,24011.5
26111,83610.5
26113,14839.5
26115,151976.5
26117,63306
26119,9763
26121,172128
26123,48426.5
26125,NA
26127,26541.5
26129,21661
26131,6768
26133,23517
26135,8624.5
26137,24148
26139,263928
26141,13352.5
26143,24439
26145,200040
26147,162914.5
26149,61278.5
26151,43060.5
26153,8479.5
26155,70627
26157,55695
26159,76222
26161,345040.5
26163,NA
26165,32732.5
27001,16198.5
27003,331073
27005,32512
27007,44480
27009,38475
27011,5266.5
27013,64055.5
27015,25888.5
27017,35392.5
27019,91201.5
27021,28577
27023,12452
27025,53906
27027,59080.5
27029,8697
27031,5174
27033,11688
27035,62529.5
27037,398826
27039,20111
27041,35998.5
27043,14534.5
27045,20855
27047,31237
27049,46206.5
27051,6014
27053,NA
27055,19024.5
27057,20407
27059,37836.5
27061,45050.5
27063,10268
27065,16224
27067,42254.5
27069,4546.5
27071,13312.5
27073,7248.5
27075,10862
27077,4042.5
27079,27701
27081,5894
27083,25861
27085,36652.5
27087,5417
27089,9429
27091,20840
27093,23297.5
27095,26092.5
27097,33201
27099,39175.5
27101,8711.5
27103,32753.5
27105,21377
27107,6853.5
27109,144378.5
27111,57282.5
27113,13938
27115,29738.5
27117,9587
27119,31620
27121,10986.5
27123,508980
27125,4082
27127,16058.5
27129,15711.5
27131,64185
27133,9689.5
27135,15595
27137,200190.5
27139,130207.5
27141,88595
27143,15235.5
27145,150713.5
27147,36560.5
27149,9722.5
27151,9771.5
27153,24890
27155,3550
27157,21667
27159,13838
27161,19136.5
27163,238490
27165,11213
27167,6573.5
27169,51440
27171,124909
27173,10431.5
28001,32274
28003,37072.5
28005,13120.5
28007,19558
28009,8724.5
28011,34124
28013,14959.5
28015,10588.5
28017,17401
28019,8546
28021,9581.5
28023,16747.5
28025,20605.5
28027,26142.5
28029,29439.5
28031,19590
28033,161499
28035,75023.5
28037,8121.5
28039,22632
28041,14395.5
28043,21898
28045,43970.5
28047,187445
28049,245457
28051,19162.5
28053,9355.5
28055,1401
28057,23409
28059,139683
28061,17022.5
28063,7719
28065,12475.5
28067,67815.5
28069,10435.5
28071,47423.5
28073,55856
28075,80245
28077,12911
28079,23798
28081,82979
28083,32312
28085,34866
28087,59807.5
28089,95377.5
28091,27085.5
28093,37124
28095,36939
28097,10924.5
28099,29681.5
28101,21719
28103,11528
28105,47681.5
28107,34703.5
28109,55811
28111,12254
28113,40410
28115,29982.5
28117,25232.5
28119,8205.5
28121,141817.5
28123,28311
28125,4894.5
28127,27507
28129,16475.5
28131,17838
28133,29428
28135,15362
28137,28933.5
28139,22236
28141,19593.5
28143,10758
28145,27148
28147,15429.5
28149,48806.5
28151,51107.5
28153,20745
28155,10262
28157,9861.5
28159,19196
28161,12664
28163,28038.5
29001,25607
29003,17334
29005,5671.5
29007,25509.5
29009,35592.5
29011,12393.5
29013,17045.5
29015,19058
29017,12347.5
29019,162937
29021,89172.5
29023,42795
29025,9430
29027,44375.5
29029,43993.5
29031,75784.5
29033,9295.5
29035,6282
29037,99600.5
29039,13977.5
29041,7839
29043,77623.5
29045,7143.5
29047,222328.5
29049,20742.5
29051,76086
29053,17605.5
29055,24666.5
29057,7875
29059,16769.5
29061,8437
29063,12896
29065,15669
29067,13663
29069,31936.5
29071,101500
29073,15224
29075,6728.5
29077,275294
29079,10267
29081,8949
29083,22269
29085,9627.5
29087,4911
29089,10133.5
29091,40466
29093,10604.5
29095,674708.5
29097,117587
29099,218908.5
29101,52655
29103,4132
29105,35606.5
29107,33395
29109,38617.5
29111,10207
29113,52634
29115,12756.5
29117,15195.5
29119,23085
29121,15573.5
29123,12211
29125,9180.5
29127,28787
29129,3781
29131,24731
29133,14374
29135,15611.5
29137,8811
29139,12238.5
29141,20562
29143,18945
29145,58115.5
29147,23377
29149,10901.5
29151,13871.5
29153,9725.5
29155,18279.5
29157,18954
29159,42244
29161,45228.5
29163,18511.5
29165,89499.5
29167,31138
29169,52538.5
29171,4975.5
29173,10168
29175,25425.5
29177,23484
29179,6694
29181,14101.5
29183,361043.5
29185,9814
29186,18135.5
29187,65428.5
29189,998917.5
29195,23388
29197,4430
29199,4842.5
29201,39214.5
29203,8439
29205,6371.5
29207,29982.5
29209,32187
29211,6719.5
29213,51784
29215,26028
29217,21160.5
29219,32532
29221,25200
29223,13510
29225,36244.5
29227,2163
29229,18834
29510,319225
30001,9249.5
30003,12889.5
30005,6499
30007,5620.5
30009,10081.5
30011,1157
30013,81423
30015,5808
30017,11701
30019,1754.5
30021,8951
30023,9296
30025,2888.5
30027,11584
30029,90914.5
30031,89585.5
30033,1199
30035,13425
30037,884
30039,3080.5
30041,16124
30043,11415
30045,2070
30047,28756
30049,63507.5
30051,2341.5
30053,19678.5
30055,1737.5
30057,7691
30059,1889
30061,4221
30063,109396.5
30065,4549
30067,15622
30069,494.5
30071,4251
30073,6156.5
30075,1742
30077,7024.5
30079,1184
30081,40260
30083,9752.5
30085,10439
30087,9243.5
30089,11397.5
30091,3380.5
30093,34217
30095,9119
30097,3636.5
30099,6077
30101,5330.5
30103,715.5
30105,7364
30107,2167
30109,1012.5
30111,148202
31001,31376
31003,6674.5
31005,461.5
31007,690
31009,478
31011,5502.5
31013,11296.5
31015,2103
31017,3149.5
31019,46133.5
31021,6852.5
31023,8396.5
31025,25266
31027,8844.5
31029,3968.5
31031,5715
31033,9988.5
31035,6542.5
31037,10536.5
31039,9139.5
31041,10925.5
31043,21017
31045,9176
31047,24354.5
31049,1938.5
31051,6001.5
31053,36699
31055,517943.5
31057,2008
31059,5889.5
31061,3230
31063,2749.5
31065,4958.5
31067,22306
31069,2061
31071,2048
31073,2045.5
31075,612
31077,2541
31079,58710.5
31081,9128
31083,3423.5
31085,962.5
31087,2906
31089,10434.5
31091,737
31093,6273.5
31095,7532
31097,5224
31099,6490.5
31101,8367.5
31103,824
31105,3820.5
31107,8697
31109,285774
31111,36279
31113,766.5
31115,633
31117,538.5
31119,34918
31121,7848
31123,5044
31125,3732.5
31127,7253
31129,4498.5
31131,15756.5
31133,2775
31135,2972.5
31137,9193.5
31139,7266
31141,32280.5
31143,5400.5
31145,11050
31147,8356.5
31149,1521.5
31151,14209.5
31153,159274.5
31155,20819
31157,37021
31159,16778.5
31161,5460.5
31163,3152
31165,1307.5
31167,6126.5
31169,5228.5
31171,644
31173,6957.5
31175,4264
31177,20245.5
31179,9601
31181,3810.5
31183,818.5
31185,13658.5
32001,24843.5
32003,NA
32005,46976.5
32007,48872
32009,776.5
32011,1994.5
32013,16567
32015,5787
32017,5353.5
32019,52014.5
32021,4770
32023,43857.5
32027,6752
32029,4006
32031,421967.5
32033,10044
32510,55250
33001,60086.5
33003,47827
33005,77083
33007,33002.5
33009,89113
33011,400889
33013,146422.5
33015,295291.5
33017,123170.5
33019,43729
34001,274617
34003,905828.5
34005,448941.5
34007,513632
34009,97259
34011,157023.5
34013,784098.5
34015,288434.5
34017,634780
34019,128361
34021,366651
34023,810422
34025,630673
34027,492485
34029,577085
34031,501543
34033,66070.5
34035,323819
34037,149252
34039,537080
34041,108703
35001,663601.5
35003,3727.5
35005,65712
35006,27230
35007,13738
35009,48662.5
35011,2022
35013,209885.5
35015,53859.5
35017,29456.5
35019,4690
35021,693
35023,4874
35025,64712.5
35027,20498.5
35028,17990.5
35029,25114
35031,71644.5
35033,4885
35035,64040.5
35037,9059.5
35039,40292.5
35041,19948
35043,131945.5
35045,130094.5
35047,29390
35049,144388
35051,12007
35053,17858
35055,32947
35057,16379
35059,4545
35061,76664
36001,304018.5
36003,48944.5
36005,NA
36007,200436
36009,80273
36011,80002
36013,134836.5
36015,88827
36017,50441
36019,82121.5
36021,63084.5
36023,49315
36025,47906
36027,297532.5
36029,918846
36031,39336
36033,51589
36035,55528.5
36037,60080.5
36039,49190
36041,4833.5
36043,64510.5
36045,116405.5
36047,NA
36049,27079.5
36051,65363
36053,73440.5
36055,744366.5
36057,50234.5
36059,NA
36061,NA
36063,216507.5
36065,234861.5
36067,467115
36069,108023.5
36071,373084
36073,42868.5
36075,122111.5
36077,62245.5
36079,99711.5
36081,NA
36083,159428.5
36085,469046.5
36087,311935
36089,111919
36091,219783.5
36093,154808
36095,32735.5
36097,18336.5
36099,35225
36101,98960
36103,NA
36105,77523.5
36107,51087
36109,101592
36111,182464
36113,65702
36115,63252
36117,93762.5
36119,949827
36121,42142
36123,25343
37001,151329.5
37003,37218.5
37005,11159
37007,26928
37009,27286
37011,17776
37013,47789.5
37015,21266
37017,35209.5
37019,107711.5
37021,238575
37023,90841.5
37025,178299.5
37027,83013.5
37029,9991.5
37031,66577
37033,23707
37035,154373.5
37037,63663
37039,27440
37041,14776
37043,10590.5
37045,98064
37047,58046
37049,103706.5
37051,319849
37053,23595
37055,33967.5
37057,162904
37059,41280.5
37061,58616.5
37063,268020.5
37065,56545.5
37067,351002.5
37069,60733.5
37071,206149.5
37073,12202
37075,8868
37077,59989.5
37079,21373
37081,489043.5
37083,54626.5
37085,115205.5
37087,58985.5
37089,106859
37091,24656
37093,47209
37095,5808.5
37097,159604
37099,40304.5
37101,169306.5
37103,10153
37105,57908.5
37107,59467
37109,78357.5
37111,45006
37113,33930
37115,20770.5
37117,24503
37119,921527.5
37121,15562.5
37123,27812
37125,88408
37127,95889
37129,203004
37131,22069.5
37133,178621.5
37135,133999
37137,13134
37139,40697
37141,52325
37143,13474
37145,39462.5
37147,168482.5
37149,20487.5
37151,141856
37153,46649
37155,134320.5
37157,93642
37159,138437
37161,67791
37163,63485.5
37165,36128.5
37167,60590
37169,47376
37171,73683.5
37173,13984.5
37175,33092
37177,4412
37179,201749
37181,45424
37183,903981
37185,20951.5
37187,13217
37189,51060
37191,122765
37193,69313.5
37195,81296.5
37197,38415.5
37199,17806
38001,2344.5
38003,11064
38005,6672.5
38007,781
38009,6432
38011,3150.5
38013,1968
38015,81487
38017,150004
38019,3992
38021,5291
38023,2077.5
38025,3538
38027,2381.5
38029,3545
38031,3346
38033,1683
38035,66926
38037,2390
38039,2419.5
